bag_t.secs,bag_t.nsecs,latitude,longitude
0,0,36.62548,127.4586828
0,100000000,36.62548,127.4586828
0,200000000,36.62548017,127.4586828
0,300000000,36.62548033,127.458683
0,400000000,36.62548017,127.4586827
0,500000000,36.62548,127.4586827
0,600000000,36.62548,127.4586827
0,700000000,36.6254795,127.4586825
0,800000000,36.625475,127.4586782
0,900000000,36.6254645,127.4586728
1,0,36.62545317,127.4586668
1,100000000,36.62544083,127.4586607
1,200000000,36.62542833,127.4586537
1,300000000,36.625416,127.4586467
1,400000000,36.62540383,127.4586395
1,500000000,36.62539167,127.458632
1,600000000,36.62537983,127.4586242
1,700000000,36.6253675,127.4586158
1,800000000,36.62535567,127.458606
1,900000000,36.62534383,127.4585965
2,0,36.62533233,127.4585868
2,100000000,36.62532183,127.4585778
2,200000000,36.6253105,127.4585683
2,300000000,36.6252995,127.4585582
2,400000000,36.625288,127.458549
2,500000000,36.625277,127.4585397
2,600000000,36.62526583,127.4585302
2,700000000,36.62525467,127.45852
2,800000000,36.62524333,127.4585102
2,900000000,36.62523217,127.4585003
3,0,36.625221,127.4584907
3,100000000,36.6252105,127.4584802
3,200000000,36.62519933,127.4584703
3,300000000,36.62518783,127.4584608
3,400000000,36.62517717,127.4584512
3,500000000,36.62516633,127.4584415
3,600000000,36.62515567,127.4584318
3,700000000,36.6251445,127.4584225
3,800000000,36.62513383,127.4584128
3,900000000,36.62512267,127.4584032
4,0,36.62511133,127.4583937
4,100000000,36.62510017,127.4583845
4,200000000,36.625089,127.458375
4,300000000,36.62507767,127.4583658
4,400000000,36.625067,127.4583563
4,500000000,36.6250565,127.4583467
4,600000000,36.62504583,127.458337
4,700000000,36.62503533,127.458327
4,800000000,36.6250255,127.4583178
4,900000000,36.6250155,127.458309
5,0,36.62500683,127.4583008
5,100000000,36.62499983,127.4582942
5,200000000,36.62499817,127.4582927
5,300000000,36.62499833,127.4582923
5,400000000,36.62499833,127.4582925
5,500000000,36.624998,127.4582927
5,600000000,36.62499783,127.4582927
5,700000000,36.624998,127.4582927
5,800000000,36.624998,127.4582927
5,900000000,36.624998,127.4582927
6,0,36.62499783,127.4582925
6,100000000,36.624998,127.4582923
6,200000000,36.624998,127.4582922
6,300000000,36.62499817,127.4582922
6,400000000,36.624998,127.4582922
