bag_t.secs,bag_t.nsecs,heading,gSpeed,velE,velN,hAcc,sAcc,flags
0,0,0,0,0,0,50,50,128
0,100000000,91967,94,2,94,50,50,128
0,200000000,2695548,204,92,182,50,50,128
0,300000000,27091967,45,-45,1,50,50,128
0,400000000,21715214,227,-137,-181,50,50,128
0,500000000,18091967,94,-2,-94,50,50,128
0,600000000,19878974,291,-94,-276,50,50,128
0,700000000,21687802,3427,-2056,-2741,50,50,128
0,800000000,20844985,9384,-4470,-8251,50,50,128
0,900000000,20374716,13140,-5291,-12027,50,50,128
1,0,20331340,14202,-5621,-13043,50,50,128
1,100000000,20394923,14974,-6078,-13684,50,50,128
1,200000000,20536010,15131,-6480,-13672,50,50,128
1,300000000,20596036,15002,-6567,-13488,50,50,128
1,400000000,20688583,15013,-6789,-13390,50,50,128
1,500000000,20811599,14969,-7054,-13203,50,50,128
1,600000000,20929976,15240,-7458,-13291,50,50,128
1,700000000,21218570,15680,-8352,-13271,50,50,128
1,800000000,21423363,15713,-8840,-12991,50,50,128
1,900000000,21446665,15536,-8792,-12809,50,50,128
2,0,21533601,14794,-8557,-12069,50,50,128
2,100000000,21525604,14666,-8466,-11976,50,50,128
2,200000000,21619891,15175,-8962,-12246,50,50,128
2,300000000,21557977,15175,-8829,-12342,50,50,128
2,400000000,21445387,14975,-8472,-12348,50,50,128
2,500000000,21527292,14898,-8603,-12163,50,50,128
2,600000000,21633654,15201,-9007,-12245,50,50,128
2,700000000,21654054,15355,-9142,-12337,50,50,128
2,800000000,21613159,15278,-9008,-12339,50,50,128
2,900000000,21606091,15149,-8917,-12246,50,50,128
3,0,21770307,15010,-9180,-11876,50,50,128
3,100000000,21811100,15091,-9314,-11874,50,50,128
3,200000000,21551665,15278,-8876,-12436,50,50,128
3,300000000,21570889,14969,-8737,-12155,50,50,128
3,400000000,21680782,14722,-8821,-11787,50,50,128
3,500000000,21694857,14748,-8865,-11787,50,50,128
3,600000000,21597124,14793,-8689,-11972,50,50,128
3,700000000,21595891,14798,-8689,-11978,50,50,128
3,800000000,21639438,14871,-8823,-11970,50,50,128
3,900000000,21530125,15124,-8740,-12343,50,50,128
4,0,21473831,15024,-8561,-12346,50,50,128
4,100000000,21493954,14946,-8560,-12252,50,50,128
4,200000000,21473832,15024,-8561,-12346,50,50,128
4,300000000,21533622,14794,-8557,-12069,50,50,128
4,400000000,21694547,14521,-8728,-11606,50,50,128
4,500000000,21722982,14574,-8818,-11604,50,50,128
4,600000000,21779236,14681,-8996,-11601,50,50,128
4,700000000,21819966,14174,-8765,-11139,50,50,128
4,800000000,21711116,13631,-8224,-10870,50,50,128
4,900000000,21719638,12848,-7767,-10234,50,50,128
5,0,21820152,10926,-6757,-8586,50,50,128
5,100000000,21793320,6017,-3699,-4745,50,50,128
5,200000000,22651481,1189,-863,-818,50,50,128
5,300000000,31570437,126,-88,90,50,50,128
5,400000000,13658585,256,176,-186,50,50,128
5,500000000,16304971,291,85,-279,50,50,128
5,600000000,0,0,0,0,50,50,128
5,700000000,91989,94,2,94,50,50,128
5,800000000,0,0,0,0,50,50,128
5,900000000,22439936,130,-91,-93,50,50,128
6,0,27091989,179,-179,3,50,50,128
6,100000000,30602805,164,-133,96,50,50,128
6,200000000,33555230,104,-43,95,50,50,128
6,300000000,0,0,0,0,50,50,128
6,400000000,18091989,189,-3,-189,50,50,128
