header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance,bag_t.secs,bag_t.nsecs
1177,1778833821,624617072,gps,-0.022,0.004,-0.01,0.0,0.0,0.0,0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833821,686210633
1178,1778833821,749617008,gps,0.018000000000000002,-0.007,-0.003,0.0,0.0,0.0,0.028561000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028561000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028561000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833821,814592418
1179,1778833821,874616943,gps,-0.043000000000000003,-0.018000000000000002,-0.001,0.0,0.0,0.0,0.037636;0.0;0.0;0.0;0.0;0.0;0.0;0.037636;0.0;0.0;0.0;0.0;0.0;0.0;0.037636;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833821,939130469
1180,1778833821,999616880,gps,0.041,-0.001,0.003,0.0,0.0,0.0,0.032041;0.0;0.0;0.0;0.0;0.0;0.0;0.032041;0.0;0.0;0.0;0.0;0.0;0.0;0.032041;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,69715071
1181,1778833822,124616814,gps,-0.014,0.016,-0.008,0.0,0.0,0.0,0.027225000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.027225000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.027225000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,189961943
1182,1778833822,249616750,gps,0.017,0.006,-0.018000000000000002,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,315303410
1183,1778833822,374616685,gps,0.01,0.027,-0.002,0.0,0.0,0.0,0.035721;0.0;0.0;0.0;0.0;0.0;0.0;0.035721;0.0;0.0;0.0;0.0;0.0;0.0;0.035721;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,439038938
1184,1778833822,499616621,gps,-0.001,0.034,-0.005,0.0,0.0,0.0,0.032041;0.0;0.0;0.0;0.0;0.0;0.0;0.032041;0.0;0.0;0.0;0.0;0.0;0.0;0.032041;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,560186219
1185,1778833822,624616556,gps,-0.018000000000000002,0.013000000000000001,-0.014,0.0,0.0,0.0,0.026896000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.026896000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.026896000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,689116022
1186,1778833822,749616492,gps,0.075,-0.029,-0.017,0.0,0.0,0.0,0.028561000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028561000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028561000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833822,814954062
