pinSel,pinBank,pinDir,pinVal,noisePerMS,agcCnt,aStatus,aPower,flags,reserved0,usedMask,VP.len,jamInd,reserved1.len,pinIrq,pullH,pullL,bag_t.secs,bag_t.nsecs
33217,65536,32768,26587,74,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833821,951741644
33217,65536,32768,26587,74,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833822,951084383
33217,65536,32768,26587,74,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833823,952111574
33217,65536,32768,26587,74,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778833824,951733360
33217,65536,32768,26587,75,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833825,951193893
33217,65536,32768,26591,74,3510,1,2,1,133,131006,17,7,2,0,31707,0,1778833826,951995351
33217,65536,32768,26591,75,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833827,951069597
33217,65536,32768,26591,75,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833828,951198067
33217,65536,32768,26591,75,3510,1,2,1,133,131006,17,4,2,0,31707,0,1778833829,951134992
33217,65536,32768,26587,75,3510,1,2,1,133,131006,17,8,2,0,31707,0,1778833830,951174030
33217,65536,32768,26587,75,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778833831,951923385
33217,65536,32768,26587,75,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833832,951148451
33217,65536,32768,26587,75,3159,1,2,1,133,131006,17,7,2,0,31707,0,1778833833,951883251
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833834,951347967
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833835,951962433
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833836,951082138
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833837,952047085
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833838,951923695
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833839,951872220
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833840,951941651
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833841,951263718
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833842,951876907
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833843,951157458
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833844,951333625
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833845,951279697
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833846,951199792
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833847,951178237
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833848,951143655
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833849,951834276
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833850,952008415
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833851,952284569
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833852,951888416
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833853,951312284
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833854,952007689
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833855,951255521
