iTOW,ecefX,ecefY,ecefZ,pAcc,bag_t.secs,bag_t.nsecs
462639625,-311167099,406355690,379340431,143,1778833821,686252091
462639750,-311167099,406355690,379340431,143,1778833821,814592961
462639875,-311167099,406355691,379340431,143,1778833821,939145474
462640000,-311167100,406355690,379340431,143,1778833822,69720768
462640125,-311167099,406355691,379340432,144,1778833822,189972702
462640250,-311167099,406355689,379340431,144,1778833822,315307107
462640375,-311167099,406355690,379340432,144,1778833822,439046906
462640500,-311167099,406355689,379340432,144,1778833822,560185187
462640625,-311167098,406355689,379340432,145,1778833822,689287098
462640750,-311167100,406355689,379340431,145,1778833822,814958497
462640875,-311167100,406355690,379340433,145,1778833822,940007803
462641000,-311167098,406355687,379340431,145,1778833823,70080679
462641125,-311167099,406355689,379340433,145,1778833823,189485998
462641250,-311167100,406355690,379340433,146,1778833823,315150876
462641375,-311167100,406355690,379340433,146,1778833823,437608189
462641500,-311167100,406355691,379340434,146,1778833823,564952852
462641625,-311167100,406355691,379340433,146,1778833823,689606600
462641750,-311167100,406355692,379340433,147,1778833823,813363929
462641875,-311167100,406355691,379340434,147,1778833823,938273417
462642000,-311167099,406355691,379340433,147,1778833824,67349990
462642125,-311167100,406355692,379340435,147,1778833824,189370923
462642250,-311167101,406355691,379340434,147,1778833824,315834350
462642375,-311167102,406355692,379340435,148,1778833824,439228191
462642500,-311167101,406355692,379340435,148,1778833824,564310573
462642625,-311167101,406355693,379340436,148,1778833824,688824810
462642750,-311167101,406355692,379340435,148,1778833824,813457198
462642875,-311167101,406355691,379340435,149,1778833824,939297802
462643000,-311167101,406355691,379340435,149,1778833825,69684792
462643125,-311167100,406355691,379340435,149,1778833825,190373034
462643250,-311167101,406355692,379340436,149,1778833825,313373811
462643375,-311167101,406355692,379340436,150,1778833825,438303915
462643500,-311167100,406355691,379340436,150,1778833825,564029110
462643625,-311167101,406355692,379340436,150,1778833825,689691970
462643750,-311167102,406355692,379340437,150,1778833825,815223747
462643875,-311167102,406355694,379340437,151,1778833825,940047014
462644000,-311167102,406355695,379340438,151,1778833826,69154017
462644125,-311167102,406355694,379340437,151,1778833826,184790613
462644250,-311167102,406355694,379340437,151,1778833826,315857122
462644375,-311167103,406355695,379340438,152,1778833826,439785911
462644500,-311167102,406355695,379340437,152,1778833826,566357838
462644625,-311167102,406355694,379340436,152,1778833826,690071245
462644750,-311167101,406355694,379340437,152,1778833826,813445095
462644875,-311167101,406355694,379340436,153,1778833826,937788595
462645000,-311167101,406355694,379340437,153,1778833827,63916999
462645125,-311167101,406355694,379340437,153,1778833827,189470058
462645250,-311167103,406355695,379340438,153,1778833827,316188628
462645375,-311167102,406355694,379340438,153,1778833827,440029025
462645500,-311167102,406355694,379340437,154,1778833827,565077603
462645625,-311167104,406355695,379340439,154,1778833827,689109120
462645750,-311167103,406355694,379340440,154,1778833827,814321311
462645875,-311167103,406355696,379340439,154,1778833827,937274872
462646000,-311167103,406355694,379340439,155,1778833828,69899664
462646125,-311167103,406355693,379340438,155,1778833828,190107778
462646250,-311167104,406355696,379340440,155,1778833828,315326085
462646375,-311167103,406355694,379340438,155,1778833828,439376365
462646500,-311167103,406355694,379340439,155,1778833828,564728933
462646625,-311167102,406355693,379340438,156,1778833828,689350128
462646750,-311167102,406355693,379340438,156,1778833828,814711129
462646875,-311167102,406355693,379340439,156,1778833828,940030296
462647000,-311167101,406355691,379340437,156,1778833829,69703793
462647125,-311167102,406355692,379340438,156,1778833829,188808709
462647250,-311167102,406355691,379340438,157,1778833829,314429977
462647375,-311167102,406355691,379340437,157,1778833829,438434978
462647500,-311167102,406355692,379340438,157,1778833829,564781703
462647625,-311167101,406355691,379340438,157,1778833829,688696717
462647750,-311167101,406355690,379340437,157,1778833829,809599316
462647875,-311167102,406355690,379340437,158,1778833829,936781103
462648000,-311167101,406355692,379340438,158,1778833830,66248327
462648125,-311167101,406355689,379340438,158,1778833830,189024840
462648250,-311167100,406355688,379340437,158,1778833830,315098192
462648375,-311167100,406355689,379340437,158,1778833830,439644388
462648500,-311167100,406355689,379340438,159,1778833830,564371445
462648625,-311167099,406355688,379340437,159,1778833830,685957738
462648750,-311167099,406355689,379340437,159,1778833830,813817767
462648875,-311167100,406355688,379340438,159,1778833830,938400398
462649000,-311167100,406355689,379340438,159,1778833831,68851500
462649125,-311167099,406355686,379340437,160,1778833831,189025450
462649250,-311167100,406355688,379340437,160,1778833831,314383679
462649375,-311167101,406355690,379340438,160,1778833831,437372342
462649500,-311167101,406355687,379340436,160,1778833831,559138366
462649625,-311167100,406355688,379340436,160,1778833831,688158412
462649750,-311167102,406355689,379340436,160,1778833831,814334972
462649875,-311167103,406355690,379340437,161,1778833831,939484712
462650000,-311167104,406355690,379340436,161,1778833832,69636157
462650125,-311167104,406355689,379340434,161,1778833832,189051355
462650250,-311167106,406355691,379340435,161,1778833832,314945502
462650375,-311167106,406355689,379340433,161,1778833832,436742353
462650500,-311167107,406355691,379340433,162,1778833832,564812024
462650625,-311167109,406355690,379340431,162,1778833832,689404354
462650750,-311167109,406355689,379340430,162,1778833832,812773842
462650875,-311167111,406355691,379340430,162,1778833832,937128629
462651000,-311167111,406355689,379340427,162,1778833833,67724698
462651125,-311167115,406355692,379340428,163,1778833833,188260930
462651250,-311167115,406355689,379340425,163,1778833833,314881858
462651375,-311167116,406355692,379340425,163,1778833833,439000413
462651500,-311167117,406355690,379340422,163,1778833833,563279726
462651625,-311167119,406355690,379340422,163,1778833833,687781401
462651750,-311167120,406355692,379340422,164,1778833833,813195510
462651875,-311167120,406355692,379340420,164,1778833833,937857120
462652000,-311167121,406355689,379340418,164,1778833834,68121965
462652125,-311167123,406355690,379340418,164,1778833834,189248414
462652250,-311167123,406355689,379340416,165,1778833834,312191719
462652375,-311167125,406355691,379340416,165,1778833834,437795263
462652500,-311167126,406355689,379340414,165,1778833834,562444618
462652625,-311167126,406355689,379340413,165,1778833834,688299304
462652750,-311167127,406355688,379340412,166,1778833834,813387188
462652875,-311167128,406355689,379340412,166,1778833834,939288440
462653000,-311167128,406355688,379340410,166,1778833835,69589401
462653125,-311167129,406355687,379340410,166,1778833835,185208511
462653250,-311167128,406355687,379340409,166,1778833835,314976750
462653375,-311167130,406355687,379340409,167,1778833835,438293028
462653500,-311167129,406355687,379340407,167,1778833835,565275559
462653625,-311167129,406355686,379340406,167,1778833835,690174586
462653750,-311167130,406355686,379340406,167,1778833835,815406153
462653875,-311167132,406355686,379340405,167,1778833835,939918993
462654000,-311167132,406355684,379340403,168,1778833836,65109811
462654125,-311167133,406355685,379340402,168,1778833836,190903368
462654250,-311167134,406355685,379340402,168,1778833836,316885796
462654375,-311167135,406355683,379340401,168,1778833836,441645062
462654500,-311167137,406355684,379340398,168,1778833836,567018678
462654625,-311167138,406355684,379340398,169,1778833836,690282223
462654750,-311167140,406355683,379340397,169,1778833836,815727640
462654875,-311167142,406355683,379340396,169,1778833836,938845609
462655000,-311167144,406355682,379340394,169,1778833837,70403714
462655125,-311167146,406355682,379340392,170,1778833837,191498160
462655250,-311167148,406355682,379340390,170,1778833837,316980168
462655375,-311167149,406355682,379340387,170,1778833837,439517373
462655500,-311167152,406355681,379340386,170,1778833837,564970887
462655625,-311167155,406355681,379340383,170,1778833837,690109700
462655750,-311167157,406355679,379340380,171,1778833837,816130600
462655875,-311167159,406355678,379340377,171,1778833837,941239615
462656000,-311167162,406355678,379340375,171,1778833838,71358684
462656125,-311167166,406355680,379340373,171,1778833838,190358630
462656250,-311167169,406355678,379340369,172,1778833838,316375971
462656375,-311167172,406355677,379340365,172,1778833838,441265398
462656500,-311167174,406355676,379340361,172,1778833838,566952572
462656625,-311167179,406355678,379340361,172,1778833838,691491878
462656750,-311167181,406355675,379340356,172,1778833838,813113782
462656875,-311167186,406355677,379340353,173,1778833838,939091153
462657000,-311167189,406355676,379340350,173,1778833839,69245471
462657125,-311167193,406355677,379340349,173,1778833839,190121448
462657250,-311167195,406355677,379340346,173,1778833839,315328722
462657375,-311167196,406355674,379340343,173,1778833839,439552293
462657500,-311167202,406355679,379340343,174,1778833839,564695348
462657625,-311167205,406355677,379340339,174,1778833839,686228917
462657750,-311167208,406355676,379340335,174,1778833839,814251431
462657875,-311167213,406355676,379340328,174,1778833839,939729949
462658000,-311167221,406355675,379340323,174,1778833840,70089129
462658125,-311167231,406355673,379340317,175,1778833840,190174578
462658250,-311167240,406355674,379340309,175,1778833840,315528162
462658375,-311167251,406355673,379340299,175,1778833840,439825269
462658500,-311167265,406355672,379340288,175,1778833840,561144371
462658625,-311167280,406355672,379340276,175,1778833840,688564840
462658750,-311167295,406355668,379340263,176,1778833840,814693965
462658875,-311167316,406355665,379340253,176,1778833840,939677964
462659000,-311167336,406355662,379340240,176,1778833841,69255132
462659125,-311167356,406355658,379340226,176,1778833841,188577788
462659250,-311167377,406355650,379340213,176,1778833841,314441117
462659375,-311167399,406355644,379340200,177,1778833841,437228202
462659500,-311167424,406355641,379340187,177,1778833841,563930417
462659625,-311167447,406355636,379340172,177,1778833841,689277918
462659750,-311167467,406355630,379340157,177,1778833841,813477438
462659875,-311167489,406355626,379340143,177,1778833841,938279413
462660000,-311167510,406355622,379340131,177,1778833842,68677845
462660125,-311167527,406355618,379340119,177,1778833842,188483878
462660250,-311167547,406355613,379340107,177,1778833842,314734584
462660375,-311167567,406355610,379340095,178,1778833842,439491663
462660500,-311167584,406355605,379340082,178,1778833842,563958569
462660625,-311167603,406355600,379340067,178,1778833842,688367552
462660750,-311167624,406355599,379340054,178,1778833842,814087337
462660875,-311167645,406355595,379340037,178,1778833842,939678503
462661000,-311167669,406355590,379340022,178,1778833843,69934383
462661125,-311167692,406355585,379340004,178,1778833843,189855773
462661250,-311167719,406355583,379339989,179,1778833843,313328936
462661375,-311167742,406355579,379339971,179,1778833843,439244677
462661500,-311167766,406355574,379339954,179,1778833843,564124259
462661625,-311167792,406355571,379339934,179,1778833843,689529902
462661750,-311167820,406355568,379339916,179,1778833843,814863800
462661875,-311167847,406355561,379339896,179,1778833843,940001970
462662000,-311167875,406355556,379339874,179,1778833844,69368015
462662125,-311167906,406355552,379339852,180,1778833844,186984806
462662250,-311167939,406355547,379339830,180,1778833844,315236638
462662375,-311167970,406355542,379339808,180,1778833844,439691192
462662500,-311168001,406355535,379339783,180,1778833844,564953523
462662625,-311168034,406355530,379339761,180,1778833844,689630405
462662750,-311168068,406355524,379339739,180,1778833844,813263630
462662875,-311168101,406355518,379339715,180,1778833844,938385624
462663000,-311168133,406355514,379339692,180,1778833845,63972152
462663125,-311168164,406355508,379339673,180,1778833845,189326744
462663250,-311168195,406355502,379339652,180,1778833845,315199026
462663375,-311168225,406355499,379339632,180,1778833845,440147582
462663500,-311168253,406355495,379339611,180,1778833845,565067517
462663625,-311168282,406355492,379339593,181,1778833845,689398327
462663750,-311168309,406355488,379339573,181,1778833845,814773130
462663875,-311168336,406355485,379339555,181,1778833845,939051002
462664000,-311168361,406355481,379339537,181,1778833846,71100814
462664125,-311168386,406355478,379339520,181,1778833846,190885328
462664250,-311168411,406355477,379339505,181,1778833846,315443424
462664375,-311168433,406355472,379339487,181,1778833846,439987852
462664500,-311168457,406355470,379339470,181,1778833846,564199805
462664625,-311168480,406355465,379339453,181,1778833846,689314821
462664750,-311168506,406355461,379339437,181,1778833846,814823879
462664875,-311168532,406355456,379339419,181,1778833846,939829011
462665000,-311168559,406355453,379339399,181,1778833847,70917790
462665125,-311168587,406355448,379339379,181,1778833847,190571109
462665250,-311168617,406355443,379339357,182,1778833847,316013355
462665375,-311168650,406355441,379339336,182,1778833847,439464500
462665500,-311168682,406355436,379339312,182,1778833847,565355880
462665625,-311168715,406355430,379339287,182,1778833847,690170591
462665750,-311168749,406355424,379339261,182,1778833847,812023464
462665875,-311168786,406355421,379339237,182,1778833847,938427171
462666000,-311168820,406355415,379339209,182,1778833848,69211310
462666125,-311168857,406355412,379339184,182,1778833848,192032408
462666250,-311168894,406355407,379339160,182,1778833848,315614243
462666375,-311168927,406355402,379339133,182,1778833848,439022478
462666500,-311168961,406355399,379339109,182,1778833848,564125510
462666625,-311168995,406355390,379339087,183,1778833848,685453681
462666750,-311169029,406355381,379339066,183,1778833848,814062791
462666875,-311169062,406355376,379339045,183,1778833848,938418521
462667000,-311169095,406355369,379339026,183,1778833849,69221352
462667125,-311169124,406355359,379339006,183,1778833849,189055045
462667250,-311169155,406355351,379338986,183,1778833849,315083484
462667375,-311169186,406355344,379338968,183,1778833849,438435599
462667500,-311169215,406355337,379338949,183,1778833849,559150521
462667625,-311169244,406355332,379338930,183,1778833849,688890668
462667750,-311169274,406355326,379338912,183,1778833849,815013345
462667875,-311169300,406355322,379338894,183,1778833849,939418127
462668000,-311169326,406355317,379338877,183,1778833850,68670939
462668125,-311169349,406355311,379338860,183,1778833850,188426848
462668250,-311169372,406355306,379338844,184,1778833850,313529722
