version,reserved0,refStationId,iTow,relPosN,relPosE,relPosD,relPosLength,relPosHeading,reserved1,relPosHPN,relPosHPE,relPosHPD,relPosHPLength,accN,accE,accD,accLength,accHeading,reserved2,flags,bag_t.secs,bag_t.nsecs
1,0,0,462639625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833821,689149720
1,0,0,462639750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833821,818100337
1,0,0,462639875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833821,943283711
1,0,0,462640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,74495208
1,0,0,462640125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,193589163
1,0,0,462640250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,319086798
1,0,0,462640375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,443034720
1,0,0,462640500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,564180220
1,0,0,462640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,692767839
1,0,0,462640750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,818878445
1,0,0,462640875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833822,944703972
1,0,0,462641000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,73924816
1,0,0,462641125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,193333598
1,0,0,462641250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,318872211
1,0,0,462641375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,440640169
1,0,0,462641500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,568622096
1,0,0,462641625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,693645289
1,0,0,462641750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,816673755
1,0,0,462641875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833823,941951514
1,0,0,462642000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,71065957
1,0,0,462642125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,192847082
1,0,0,462642250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,319204055
1,0,0,462642375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,443147975
1,0,0,462642500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,569534907
1,0,0,462642625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,692091503
1,0,0,462642750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,816928263
1,0,0,462642875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833824,944071596
1,0,0,462643000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,73103874
1,0,0,462643125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,194026606
1,0,0,462643250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,316716035
1,0,0,462643375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,441880430
1,0,0,462643500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,568001613
1,0,0,462643625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,693216104
1,0,0,462643750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,818854491
1,0,0,462643875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833825,944507025
1,0,0,462644000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,72736882
1,0,0,462644125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,188075493
1,0,0,462644250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,319353370
1,0,0,462644375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,444120372
1,0,0,462644500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,569588096
1,0,0,462644625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,694431796
1,0,0,462644750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,816265980
1,0,0,462644875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833826,941150038
1,0,0,462645000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,68524235
1,0,0,462645125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,193181795
1,0,0,462645250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,319677128
1,0,0,462645375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,444234559
1,0,0,462645500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,568974833
1,0,0,462645625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,692742899
1,0,0,462645750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,817871891
1,0,0,462645875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833827,940146828
1,0,0,462646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,73811657
1,0,0,462646125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,194206097
1,0,0,462646250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,319256270
1,0,0,462646375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,443497370
1,0,0,462646500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,568928946
1,0,0,462646625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,692904598
1,0,0,462646750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,818159021
1,0,0,462646875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833828,944483244
1,0,0,462647000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,73180568
1,0,0,462647125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,192114872
1,0,0,462647250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,318129198
1,0,0,462647375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,441877597
1,0,0,462647500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,569723998
1,0,0,462647625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,692872073
1,0,0,462647750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,813127031
1,0,0,462647875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833829,940870236
1,0,0,462648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833830,69402821
1,0,0,462648125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833830,192538772
1,0,0,462648250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833830,318915182
