iTOW,gpsFix,flags,fixStat,flags2,ttff,msss,bag_t.secs,bag_t.nsecs
462639625,3,223,2,8,7124176,7787677,1778833821,688959479
462639750,3,223,2,8,7124176,7787802,1778833821,817898370
462639875,3,223,2,8,7124176,7787927,1778833821,943129833
462640000,3,223,2,8,7124176,7788052,1778833822,74111750
462640125,3,223,2,8,7124176,7788177,1778833822,193155657
462640250,3,223,2,8,7124176,7788302,1778833822,318839566
462640375,3,223,2,8,7124176,7788427,1778833822,442285405
462640500,3,223,2,8,7124176,7788552,1778833822,564099929
462640625,3,223,2,8,7124176,7788677,1778833822,692666020
462640750,3,223,2,8,7124176,7788802,1778833822,818352887
462640875,3,223,2,8,7124176,7788927,1778833822,944217334
462641000,3,223,2,8,7124176,7789052,1778833823,73768047
462641125,3,223,2,8,7124176,7789177,1778833823,193311718
462641250,3,223,2,8,7124176,7789302,1778833823,318292002
462641375,3,223,2,8,7124176,7789427,1778833823,440266038
462641500,3,223,2,8,7124176,7789552,1778833823,568238988
462641625,3,223,2,8,7124176,7789677,1778833823,693200107
462641750,3,223,2,8,7124176,7789802,1778833823,816580341
462641875,3,223,2,8,7124176,7789927,1778833823,941791591
462642000,3,223,2,8,7124176,7790052,1778833824,70915459
462642125,3,223,2,8,7124176,7790177,1778833824,192658870
462642250,3,223,2,8,7124176,7790302,1778833824,319103504
462642375,3,223,2,8,7124176,7790427,1778833824,443025559
462642500,3,223,2,8,7124176,7790552,1778833824,569302328
462642625,3,223,2,8,7124176,7790677,1778833824,691958659
462642750,3,223,2,8,7124176,7790802,1778833824,816795896
462642875,3,223,2,8,7124176,7790927,1778833824,943831628
462643000,3,223,2,8,7124176,7791052,1778833825,73091514
462643125,3,223,2,8,7124176,7791177,1778833825,193938049
462643250,3,223,2,8,7124176,7791302,1778833825,316624956
462643375,3,223,2,8,7124176,7791427,1778833825,441635613
462643500,3,223,2,8,7124176,7791552,1778833825,567808860
462643625,3,223,2,8,7124176,7791677,1778833825,693061351
462643750,3,223,2,8,7124176,7791802,1778833825,818765514
462643875,3,223,2,8,7124176,7791927,1778833825,944106966
462644000,3,223,2,8,7124176,7792052,1778833826,72596856
462644125,3,223,2,8,7124176,7792177,1778833826,187932709
462644250,3,223,2,8,7124176,7792302,1778833826,319197190
462644375,3,223,2,8,7124176,7792427,1778833826,443897319
462644500,3,223,2,8,7124176,7792552,1778833826,569436315
462644625,3,223,2,8,7124176,7792677,1778833826,694233111
462644750,3,223,2,8,7124176,7792802,1778833826,816159821
462644875,3,223,2,8,7124176,7792927,1778833826,940998402
462645000,3,223,2,8,7124176,7793052,1778833827,68383627
462645125,3,223,2,8,7124176,7793177,1778833827,193027437
462645250,3,223,2,8,7124176,7793302,1778833827,319436429
462645375,3,223,2,8,7124176,7793427,1778833827,444149569
