header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,bag_t.secs,bag_t.nsecs
1174,1778833821,624617072,gps,360979.0646959217,4065956.5783821936,98.383,0.0,0.0,0.0,0.0,1778833821,686355599
1175,1778833821,749617008,gps,360979.0646959217,4065956.5783821936,98.387,0.0,0.0,0.0,0.0,1778833821,814808678
1176,1778833821,874616943,gps,360979.05576590856,4065956.578527345,98.391,0.0,0.0,0.0,0.0,1778833821,939274192
1177,1778833821,999616880,gps,360979.0736259362,4065956.5782370423,98.386,0.0,0.0,0.0,0.0,1778833822,69879674
1178,1778833822,124616814,gps,360979.0646959217,4065956.5783821936,98.388,0.0,0.0,0.0,0.0,1778833822,189970401
1179,1778833822,249616750,gps,360979.0646959217,4065956.5783821936,98.372,0.0,0.0,0.0,0.0,1778833822,315515345
1180,1778833822,374616685,gps,360979.0738062616,4065956.5893310374,98.384,0.0,0.0,0.0,0.0,1778833822,439181130
1181,1778833822,499616621,gps,360979.0738062616,4065956.5893310374,98.375,0.0,0.0,0.0,0.0,1778833822,560425584
1182,1778833822,624616556,gps,360979.0648762472,4065956.5894761896,98.373,0.0,0.0,0.0,0.0,1778833822,689279946
1183,1778833822,749616492,gps,360979.0827362747,4065956.589185886,98.378,0.0,0.0,0.0,0.0,1778833822,815068126
1184,1778833822,874616427,gps,360979.0738062616,4065956.5893310374,98.395,0.0,0.0,0.0,0.0,1778833822,940142038
1185,1778833822,999616364,gps,360979.0738062616,4065956.5893310374,98.36,0.0,0.0,0.0,0.0,1778833823,70293356
1186,1778833823,124616298,gps,360979.08291660016,4065956.600279881,98.383,0.0,0.0,0.0,0.0,1778833823,189670036
1187,1778833823,249616233,gps,360979.0738062616,4065956.5893310374,98.394,0.0,0.0,0.0,0.0,1778833823,315341004
1188,1778833823,374616169,gps,360979.0738062616,4065956.5893310374,98.402,0.0,0.0,0.0,0.0,1778833823,437614733
1189,1778833823,499616104,gps,360979.0738062616,4065956.5893310374,98.412,0.0,0.0,0.0,0.0,1778833823,565207957
1190,1778833823,624616040,gps,360979.0648762472,4065956.5894761896,98.399,0.0,0.0,0.0,0.0,1778833823,689618462
1191,1778833823,749615975,gps,360979.0648762472,4065956.5894761896,98.411,0.0,0.0,0.0,0.0,1778833823,813502115
1192,1778833823,874615911,gps,360979.0738062616,4065956.5893310374,98.411,0.0,0.0,0.0,0.0,1778833823,938397456
1193,1778833823,999615847,gps,360979.0648762472,4065956.5894761896,98.4,0.0,0.0,0.0,0.0,1778833824,67543932
1194,1778833824,124615781,gps,360979.0648762472,4065956.5894761896,98.423,0.0,0.0,0.0,0.0,1778833824,189515512
1195,1778833824,249615717,gps,360979.0738062616,4065956.5893310374,98.416,0.0,0.0,0.0,0.0,1778833824,316010484
1196,1778833824,374615652,gps,360979.0827362747,4065956.589185886,98.43,0.0,0.0,0.0,0.0,1778833824,439393947
1197,1778833824,499615588,gps,360979.0738062616,4065956.5893310374,98.434,0.0,0.0,0.0,0.0,1778833824,564469253
1198,1778833824,624615523,gps,360979.0650565726,4065956.600570184,98.437,0.0,0.0,0.0,0.0,1778833824,688821589
1199,1778833824,749615459,gps,360979.0650565726,4065956.600570184,98.43,0.0,0.0,0.0,0.0,1778833824,813593805
1200,1778833824,874615394,gps,360979.073986587,4065956.600425033,98.421,0.0,0.0,0.0,0.0,1778833824,939493381
1201,1778833824,999615331,gps,360979.073986587,4065956.600425033,98.419,0.0,0.0,0.0,0.0,1778833825,69908739
1202,1778833825,124615265,gps,360979.073986587,4065956.600425033,98.411,0.0,0.0,0.0,0.0,1778833825,190449404
1203,1778833825,249615201,gps,360979.073986587,4065956.600425033,98.432,0.0,0.0,0.0,0.0,1778833825,313527518
1204,1778833825,374615136,gps,360979.0650565726,4065956.600570184,98.433,0.0,0.0,0.0,0.0,1778833825,438399972
1205,1778833825,499615072,gps,360979.06523689814,4065956.6116641797,98.425,0.0,0.0,0.0,0.0,1778833825,564240913
1206,1778833825,624615007,gps,360979.0650565726,4065956.600570184,98.432,0.0,0.0,0.0,0.0,1778833825,689839279
1207,1778833825,749614942,gps,360979.073986587,4065956.600425033,98.443,0.0,0.0,0.0,0.0,1778833825,815419617
1208,1778833825,874614878,gps,360979.0650565726,4065956.600570184,98.458,0.0,0.0,0.0,0.0,1778833825,940251494
1209,1778833825,999614814,gps,360979.0561265595,4065956.6007153355,98.462,0.0,0.0,0.0,0.0,1778833826,69357364
