iTOW,clkB,clkD,tAcc,fAcc,bag_t.secs,bag_t.nsecs
462851625,492393,516,4,454,1778834033,694454543
462851750,492457,516,4,455,1778834033,819398833
462851875,492522,516,4,457,1778834033,942985776
462852000,492586,516,4,458,1778834034,69163226
462852125,492651,516,4,459,1778834034,193779406
462852250,492716,516,4,459,1778834034,319912240
462852375,492780,516,4,459,1778834034,444817579
462852500,492845,516,4,460,1778834034,570661261
462852625,492909,516,4,459,1778834034,693810179
462852750,492974,516,4,458,1778834034,818993353
462852875,493038,516,4,458,1778834034,941492939
462853000,493103,516,4,459,1778834035,74887205
462853125,493167,516,4,460,1778834035,195398745
462853250,493232,516,4,459,1778834035,320568275
462853375,493297,517,4,460,1778834035,444730620
462853500,493361,516,4,461,1778834035,570222271
462853625,493426,516,4,463,1778834035,695593559
462853750,493490,516,4,464,1778834035,818742636
462853875,493555,516,4,469,1778834035,942636928
462854000,493619,517,4,472,1778834036,73327684
462854125,493684,517,4,475,1778834036,193903869
462854250,493749,517,4,477,1778834036,319634946
462854375,493813,517,4,478,1778834036,443657659
462854500,493878,517,4,479,1778834036,569606663
462854625,493942,516,4,481,1778834036,694528191
462854750,494007,516,4,480,1778834036,816787571
462854875,494071,517,4,481,1778834036,943585495
462855000,494136,517,4,481,1778834037,73270248
462855125,494201,517,4,481,1778834037,193277928
462855250,494265,517,4,481,1778834037,319867946
462855375,494330,516,4,480,1778834037,442987870
462855500,494394,517,4,480,1778834037,568580158
462855625,494459,517,4,479,1778834037,689538397
462855750,494523,516,4,481,1778834037,817838678
462855875,494588,516,4,480,1778834037,944793454
462856000,494652,516,4,480,1778834038,74772356
462856125,494717,516,4,478,1778834038,194856865
462856250,494782,516,4,478,1778834038,318870228
462856375,494846,516,4,478,1778834038,442869888
462856500,494911,516,4,477,1778834038,564349880
462856625,494975,516,4,478,1778834038,693747391
462856750,495040,516,4,477,1778834038,818872338
462856875,495104,516,4,478,1778834038,943939130
462857000,495169,516,4,478,1778834039,73536882
462857125,495233,516,4,479,1778834039,193203543
462857250,495298,516,4,478,1778834039,318931570
462857375,495362,516,4,478,1778834039,440954414
462857500,495427,516,4,478,1778834039,569697395
462857625,495492,516,4,478,1778834039,693515122
462857750,495556,516,4,478,1778834039,817723607
462857875,495621,516,4,477,1778834039,941813412
462858000,495685,516,4,476,1778834040,71919454
462858125,495750,516,4,477,1778834040,192924506
462858250,495814,516,4,477,1778834040,318919264
462858375,495879,516,4,476,1778834040,444436118
462858500,495944,516,4,477,1778834040,569657657
462858625,496008,516,4,477,1778834040,693517482
462858750,496073,516,4,476,1778834040,818600558
462858875,496137,516,4,476,1778834040,944506294
462859000,496202,516,4,468,1778834041,74778043
462859125,496266,516,4,464,1778834041,193956369
462859250,496331,516,4,461,1778834041,317328595
462859375,496395,516,4,458,1778834041,443955580
462859500,496460,516,4,456,1778834041,568751559
462859625,496525,516,4,454,1778834041,693310117
462859750,496589,516,4,452,1778834041,817598393
462859875,496654,516,4,451,1778834041,942603827
462860000,496718,516,4,451,1778834042,73954118
462860125,496783,516,4,451,1778834042,189347023
462860250,496847,516,4,451,1778834042,318737342
462860375,496912,517,4,451,1778834042,442392247
462860500,496977,517,4,450,1778834042,568507081
462860625,497041,516,4,449,1778834042,693259877
462860750,497106,516,4,448,1778834042,818437618
462860875,497170,516,4,446,1778834042,944612095
462861000,497235,516,4,445,1778834043,69414265
462861125,497299,516,4,445,1778834043,193913625
462861250,497364,516,4,445,1778834043,320351315
462861375,497428,516,4,444,1778834043,444563712
462861500,497493,516,4,443,1778834043,569378598
462861625,497558,516,4,443,1778834043,693403026
462861750,497622,516,4,442,1778834043,818482414
462861875,497687,517,4,441,1778834043,940748630
462862000,497751,516,4,441,1778834044,73737239
462862125,497816,516,4,441,1778834044,194879883
462862250,497880,516,4,441,1778834044,320344457
462862375,497945,517,4,442,1778834044,442834196
462862500,498009,516,4,442,1778834044,569642987
462862625,498074,516,4,443,1778834044,693694541
462862750,498139,516,4,442,1778834044,818310922
462862875,498203,517,4,442,1778834044,943860032
462863000,498268,517,4,442,1778834045,72565987
462863125,498332,517,4,442,1778834045,193169526
