iTOW,year,month,day,hour,min,sec,valid,tAcc,nano,fixType,flags,flags2,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velE,velD,gSpeed,heading,sAcc,headAcc,pDOP,reserved1.len,headVeh,magDec,magAcc,bag_t.secs,bag_t.nsecs
462851625,2026,5,15,8,33,53,55,24,624507599,3,3,234,28,1274431163,367291448,98023,78098,903,1508,-11,19,-6,22,13686802,166,18000000,119,6,0,0,0,1778834033,690579678
462851750,2026,5,15,8,33,53,55,24,749507535,3,3,234,28,1274431164,367291447,98010,78085,903,1509,-22,10,-4,24,13686802,181,18000000,119,6,0,0,0,1778834033,815660806
462851875,2026,5,15,8,33,53,55,24,874507470,3,3,234,28,1274431163,367291447,98005,78080,903,1509,-11,-25,-5,27,13686802,190,18000000,119,6,0,0,0,1778834033,939472462
462852000,2026,5,15,8,33,54,55,24,-492594,3,3,234,28,1274431164,367291447,98027,78102,903,1510,-28,50,-10,57,13686802,166,18000000,119,6,0,0,0,1778834034,65931289
462852125,2026,5,15,8,33,54,55,24,124507341,3,3,234,28,1274431163,367291447,98026,78101,903,1510,22,-47,-4,52,13686802,165,18000000,119,6,0,0,0,1778834034,190420450
462852250,2026,5,15,8,33,54,55,24,249507276,3,3,234,27,1274431163,367291446,98017,78092,903,1510,-5,-24,0,25,13686802,181,18000000,119,6,0,0,0,1778834034,316071265
462852375,2026,5,15,8,33,54,55,24,374507212,3,3,234,27,1274431163,367291446,98029,78104,903,1511,26,-17,-6,31,13686802,173,18000000,119,6,0,0,0,1778834034,440605017
462852500,2026,5,15,8,33,54,55,24,499507147,3,3,234,27,1274431163,367291444,98032,78107,903,1511,-92,-4,-6,93,13686802,198,10768044,119,6,0,0,0,1778834034,565884895
462852625,2026,5,15,8,33,54,55,24,624507083,3,3,234,27,1274431163,367291444,98043,78118,904,1511,-16,-18,-10,24,13686802,193,18000000,119,6,0,0,0,1778834034,690429250
462852750,2026,5,15,8,33,54,55,24,749507018,3,3,234,28,1274431163,367291445,98043,78118,904,1512,28,-3,-11,28,13686802,186,18000000,119,6,0,0,0,1778834034,815544873
462852875,2026,5,15,8,33,54,55,24,874506954,3,3,234,28,1274431164,367291444,98057,78132,904,1512,-1,11,-16,11,13686802,162,18000000,119,6,0,0,0,1778834034,938098227
462853000,2026,5,15,8,33,55,55,24,-493110,3,3,234,28,1274431163,367291444,98026,78101,904,1513,-12,-44,6,45,13686802,186,18000000,119,6,0,0,0,1778834035,71082375
462853125,2026,5,15,8,33,55,55,24,124506824,3,3,234,28,1274431164,367291444,98041,78116,904,1513,42,35,-2,55,13686802,204,17516982,119,6,0,0,0,1778834035,191796916
462853250,2026,5,15,8,33,55,55,24,249506760,3,3,234,27,1274431164,367291444,98042,78118,904,1513,-5,8,4,10,13686802,168,18000000,119,6,0,0,0,1778834035,317136566
462853375,2026,5,15,8,33,55,55,24,374506695,3,3,234,27,1274431163,367291444,98067,78142,905,1514,1,-56,-7,56,13686802,175,18000000,119,6,0,0,0,1778834035,440597977
462853500,2026,5,15,8,33,55,55,24,499506631,3,3,234,27,1274431164,367291443,98044,78119,905,1514,-23,59,1,63,13686802,167,18000000,119,6,0,0,0,1778834035,566631220
462853625,2026,5,15,8,33,55,55,24,624506566,3,3,234,28,1274431164,367291443,98060,78135,905,1515,-18,4,-13,19,13686802,181,18000000,119,6,0,0,0,1778834035,692036812
462853750,2026,5,15,8,33,55,55,24,749506502,3,3,234,28,1274431164,367291443,98057,78132,905,1515,17,-14,-8,22,13686802,168,18000000,119,6,0,0,0,1778834035,815441227
462853875,2026,5,15,8,33,55,55,24,874506437,3,3,234,27,1274431164,367291442,98042,78117,905,1516,-30,5,11,31,13686802,187,18000000,119,6,0,0,0,1778834035,939024279
462854000,2026,5,15,8,33,56,55,24,-493626,3,3,234,27,1274431164,367291443,98050,78125,906,1517,16,26,11,30,13686802,206,18000000,119,6,0,0,0,1778834036,69742747
462854125,2026,5,15,8,33,56,55,24,124506308,3,3,234,27,1274431164,367291441,98055,78130,906,1518,-42,-32,13,52,13686802,213,18000000,119,6,0,0,0,1778834036,190548264
462854250,2026,5,15,8,33,56,55,24,249506243,3,3,234,27,1274431164,367291441,98063,78138,907,1518,-27,-12,4,30,13686802,213,18000000,119,6,0,0,0,1778834036,315701456
462854375,2026,5,15,8,33,56,55,24,374506179,3,3,234,28,1274431163,367291441,98046,78121,907,1519,-14,-23,18,27,13686802,192,18000000,119,6,0,0,0,1778834036,439743995
462854500,2026,5,15,8,33,56,55,24,499506114,3,3,234,28,1274431164,367291442,98039,78114,907,1520,59,29,22,65,13686802,215,14885456,119,6,0,0,0,1778834036,565133963
462854625,2026,5,15,8,33,56,55,24,624506050,3,3,234,27,1274431164,367291441,98056,78131,908,1521,-7,7,7,10,13686802,165,18000000,119,6,0,0,0,1778834036,690870302
462854750,2026,5,15,8,33,56,55,24,749505985,3,3,234,28,1274431163,367291440,98058,78133,908,1522,-31,-14,7,34,13686802,214,18000000,119,6,0,0,0,1778834036,812945802
462854875,2026,5,15,8,33,56,55,24,874505921,3,3,234,28,1274431163,367291441,98058,78133,909,1523,36,-14,12,39,13686802,188,18000000,119,6,0,0,0,1778834036,939640889
462855000,2026,5,15,8,33,57,55,24,-494143,3,3,234,28,1274431163,367291440,98053,78128,909,1523,-20,-2,17,20,13686802,185,18000000,119,6,0,0,0,1778834037,68415255
462855125,2026,5,15,8,33,57,55,24,124505791,3,3,234,27,1274431163,367291440,98048,78123,909,1524,-15,3,18,15,13686802,172,18000000,119,6,0,0,0,1778834037,189971169
462855250,2026,5,15,8,33,57,55,24,249505727,3,3,234,27,1274431163,367291440,98059,78134,910,1525,23,-37,7,44,13686802,169,18000000,119,6,0,0,0,1778834037,316022773
462855375,2026,5,15,8,33,57,55,24,374505662,3,3,234,28,1274431163,367291439,98065,78140,910,1525,-19,4,1,19,13686802,194,18000000,119,6,0,0,0,1778834037,439641970
462855500,2026,5,15,8,33,57,55,24,499505598,3,3,234,27,1274431163,367291438,98052,78127,911,1526,-48,10,16,49,13686802,189,18000000,119,6,0,0,0,1778834037,564798204
462855625,2026,5,15,8,33,57,55,24,624505533,3,3,234,28,1274431163,367291439,98045,78120,911,1527,22,-8,20,24,13686802,180,18000000,119,6,0,0,0,1778834037,686130656
462855750,2026,5,15,8,33,57,55,24,749505469,3,3,234,28,1274431163,367291439,98046,78121,912,1527,7,-9,13,11,13686802,166,18000000,119,6,0,0,0,1778834037,813996236
462855875,2026,5,15,8,33,57,55,24,874505404,3,3,234,28,1274431162,367291439,98053,78128,912,1528,31,-22,11,38,13686802,177,18000000,119,6,0,0,0,1778834037,940516002
462856000,2026,5,15,8,33,58,55,24,-494659,3,3,234,28,1274431162,367291439,98036,78111,912,1529,2,1,19,3,13686802,177,18000000,119,6,0,0,0,1778834038,70841478
462856125,2026,5,15,8,33,58,55,24,124505275,3,3,234,28,1274431163,367291438,98044,78119,913,1529,0,24,10,24,13686802,183,18000000,119,6,0,0,0,1778834038,190798565
462856250,2026,5,15,8,33,58,55,24,249505210,3,3,234,28,1274431163,367291438,98047,78122,913,1530,-2,30,12,30,13686802,180,18000000,119,6,0,0,0,1778834038,315534061
462856375,2026,5,15,8,33,58,55,24,374505146,3,3,234,28,1274431163,367291438,98042,78117,913,1530,33,19,14,38,13686802,213,18000000,119,6,0,0,0,1778834038,439505080
462856500,2026,5,15,8,33,58,55,24,499505081,3,3,234,28,1274431163,367291438,98039,78114,914,1531,-5,-19,9,20,13686802,188,18000000,119,6,0,0,0,1778834038,560651117
462856625,2026,5,15,8,33,58,55,24,624505017,3,3,234,28,1274431163,367291438,98051,78126,914,1532,9,-13,0,16,13686802,169,18000000,119,6,0,0,0,1778834038,690111827
462856750,2026,5,15,8,33,58,55,24,749504952,3,3,234,28,1274431163,367291437,98058,78133,914,1533,-28,11,2,31,13686802,186,18000000,119,6,0,0,0,1778834038,815135045
462856875,2026,5,15,8,33,58,55,24,874504888,3,3,234,28,1274431163,367291437,98049,78124,915,1533,3,13,14,13,13686802,181,18000000,119,6,0,0,0,1778834038,939934778
462857000,2026,5,15,8,33,59,55,24,-495176,3,3,234,28,1274431162,367291437,98052,78127,915,1534,5,-33,6,34,13686802,180,18000000,119,6,0,0,0,1778834039,69871937
462857125,2026,5,15,8,33,59,55,24,124504759,3,3,234,28,1274431163,367291437,98047,78122,915,1535,-11,51,12,52,13686802,177,18000000,119,6,0,0,0,1778834039,189724931
462857250,2026,5,15,8,33,59,55,24,249504694,3,3,234,28,1274431162,367291437,98053,78128,916,1535,28,-18,13,33,13686802,178,18000000,119,6,0,0,0,1778834039,315448967
462857375,2026,5,15,8,33,59,55,24,374504629,3,3,234,28,1274431163,367291437,98049,78124,916,1536,7,18,13,20,13686802,196,18000000,119,6,0,0,0,1778834039,438068498
462857500,2026,5,15,8,33,59,55,24,499504565,3,3,234,28,1274431162,367291437,98063,78139,917,1537,-1,-19,3,19,13686802,189,18000000,119,6,0,0,0,1778834039,564612972
462857625,2026,5,15,8,33,59,55,24,624504500,3,3,234,27,1274431162,367291437,98055,78130,917,1537,7,-19,10,20,13686802,171,18000000,119,6,0,0,0,1778834039,689983054
462857750,2026,5,15,8,33,59,55,24,749504436,3,3,234,27,1274431162,367291436,98048,78123,917,1538,-42,12,17,44,13686802,185,18000000,119,6,0,0,0,1778834039,813997849
462857875,2026,5,15,8,33,59,55,24,874504371,3,3,234,27,1274431162,367291436,98064,78139,918,1539,11,-1,9,11,13686802,190,18000000,119,6,0,0,0,1778834039,938446444
462858000,2026,5,15,8,34,0,55,24,-495692,3,3,234,28,1274431161,367291436,98053,78128,918,1539,5,-17,10,17,13686802,168,18000000,119,6,0,0,0,1778834040,68477385
462858125,2026,5,15,8,34,0,55,24,124504242,3,3,234,28,1274431162,367291436,98067,78142,918,1540,28,9,6,30,13686802,212,18000000,119,6,0,0,0,1778834040,189775659
462858250,2026,5,15,8,34,0,55,24,249504178,3,3,234,28,1274431161,367291435,98084,78159,918,1541,-50,16,2,53,13686802,189,18000000,119,6,0,0,0,1778834040,315604581
462858375,2026,5,15,8,34,0,55,24,374504113,3,3,234,28,1274431161,367291435,98066,78141,919,1541,-18,-17,19,25,13686802,191,18000000,119,6,0,0,0,1778834040,440279626
462858500,2026,5,15,8,34,0,55,24,499504048,3,3,234,27,1274431161,367291435,98086,78161,919,1542,22,14,6,26,13686802,216,18000000,119,6,0,0,0,1778834040,565734303
462858625,2026,5,15,8,34,0,55,24,624503984,3,3,234,28,1274431161,367291435,98081,78156,919,1542,26,7,8,27,13686802,210,18000000,119,6,0,0,0,1778834040,689884246
462858750,2026,5,15,8,34,0,55,24,749503919,3,3,234,27,1274431161,367291435,98093,78168,920,1543,-9,-7,9,11,13686802,192,18000000,119,6,0,0,0,1778834040,815235640
462858875,2026,5,15,8,34,0,55,24,874503855,3,3,234,27,1274431161,367291434,98103,78178,920,1543,-11,36,9,38,13686802,172,18000000,119,6,0,0,0,1778834040,940069074
462859000,2026,5,15,8,34,1,55,24,-496209,3,3,234,27,1274431160,367291434,98112,78187,920,1543,11,-46,0,48,13686802,171,18000000,119,6,0,0,0,1778834041,70457864
462859125,2026,5,15,8,34,1,55,24,124503726,3,3,234,27,1274431160,367291435,98097,78172,920,1543,33,6,10,34,13686802,195,18000000,119,6,0,0,0,1778834041,190321192
462859250,2026,5,15,8,34,1,55,24,249503661,3,3,234,27,1274431160,367291434,98113,78188,920,1543,-18,-2,3,18,13686802,196,18000000,119,6,0,0,0,1778834041,313003640
462859375,2026,5,15,8,34,1,55,24,374503597,3,3,234,27,1274431160,367291434,98119,78194,920,1543,9,18,5,20,13686802,188,18000000,119,6,0,0,0,1778834041,439818130
462859500,2026,5,15,8,34,1,55,24,499503532,3,3,234,28,1274431160,367291434,98118,78193,920,1543,-5,5,7,7,13686802,174,18000000,119,6,0,0,0,1778834041,564723622
462859625,2026,5,15,8,34,1,55,24,624503467,3,3,234,28,1274431160,367291433,98131,78206,920,1543,-18,12,3,22,13686802,176,18000000,119,6,0,0,0,1778834041,689629179
462859750,2026,5,15,8,34,1,55,24,749503403,3,3,234,28,1274431160,367291433,98101,78176,920,1542,1,3,19,3,13686802,163,18000000,119,6,0,0,0,1778834041,814093813
462859875,2026,5,15,8,34,1,55,24,874503338,3,3,234,27,1274431160,367291433,98120,78195,920,1542,16,4,4,16,13686802,195,18000000,119,6,0,0,0,1778834041,939072813
462860000,2026,5,15,8,34,2,55,24,-496725,3,3,234,27,1274431160,367291433,98122,78197,920,1542,6,-4,14,7,13686802,165,18000000,119,6,0,0,0,1778834042,69024501
462860125,2026,5,15,8,34,2,55,24,124503209,3,3,234,28,1274431160,367291433,98143,78218,920,1542,13,43,8,45,13686802,182,18000000,119,6,0,0,0,1778834042,185958040
462860250,2026,5,15,8,34,2,55,24,249503145,3,3,234,28,1274431160,367291433,98144,78219,920,1542,21,-7,7,22,13686802,182,18000000,119,6,0,0,0,1778834042,315011178
462860375,2026,5,15,8,34,2,55,24,374503080,3,3,234,28,1274431160,367291433,98152,78227,920,1542,5,-4,10,6,13686802,170,18000000,119,6,0,0,0,1778834042,438810167
