iTOW,version,numSvs,reserved0.len,sv.len,bag_t.secs,bag_t.nsecs
462852500,1,48,2,48,1778834034,570655564
462855000,1,48,2,48,1778834037,73191739
462857500,1,48,2,48,1778834039,569683138
462860000,1,48,2,48,1778834042,73749552
462862500,1,48,2,48,1778834044,569619520
462865000,1,48,2,48,1778834047,73968923
462867500,1,48,2,48,1778834049,570234853
462870000,1,48,2,48,1778834052,70369371
462872500,1,48,2,48,1778834054,572498271
462875000,1,48,2,48,1778834057,76780260
462877500,1,48,2,48,1778834059,570523968
462880000,1,48,2,48,1778834062,75178972
462882500,1,48,2,48,1778834064,571350684
462885000,1,48,2,48,1778834067,72942331
462887500,1,48,2,48,1778834069,569583136
462890000,1,48,2,48,1778834072,72533667
462892500,1,48,2,48,1778834074,563631434
462895000,1,48,2,48,1778834077,72170551
462897500,1,48,2,48,1778834079,569283300
462900000,1,48,2,48,1778834082,74748533
462902500,1,48,2,48,1778834084,569989917
462905000,1,48,2,48,1778834087,74727646
462907500,1,48,2,48,1778834089,570477174
462910000,1,48,2,48,1778834092,75033647
462912500,1,48,2,48,1778834094,568027396
462915000,1,48,2,48,1778834097,70192509
462917500,1,48,2,48,1778834099,569012109
462920000,1,48,2,48,1778834102,74829889
462922500,1,48,2,48,1778834104,569000937
462925000,1,48,2,48,1778834107,70225483
462927500,1,48,2,48,1778834109,567008362
462930000,1,48,2,48,1778834112,71952608
462932500,1,48,2,48,1778834114,568087408
462935000,1,48,2,48,1778834117,72964305
462937500,1,48,2,48,1778834119,564161600
462940000,1,48,2,48,1778834122,73434564
462942500,1,48,2,48,1778834124,566128850
462945000,1,48,2,48,1778834127,70984404
462947500,1,48,2,48,1778834129,568214053
462950000,1,48,2,48,1778834132,71920012
462952500,1,48,2,48,1778834134,565958446
462955000,1,48,2,48,1778834137,71446160
462957500,1,48,2,48,1778834139,565726322
462960000,1,48,2,48,1778834142,64554450
462962500,1,49,2,49,1778834144,566157649
462965000,1,49,2,49,1778834147,70210949
462967500,1,49,2,49,1778834149,565957330
