scenario_t_s,lat,lon,heading_deg,speed_mps,hAcc_m,carrSoln,lane,road_idx,rel_distance_m,rel_ahead_m,rel_lateral_m,same_lane_alert
0.000,36.62545605957829,127.45867060296347,207.71,14.202,0.050,2,1차선,0,4.56,-4.55,0.22,1
0.100,36.62544226937916,127.45866278744988,205.49,14.974,0.050,2,1차선,0,4.85,-4.85,0.03,1
0.200,36.62542876465979,127.45865483754758,203.85,15.131,0.050,2,1차선,0,5.12,-5.12,-0.14,1
0.300,36.62541554542016,127.45864675325662,205.30,15.002,0.050,2,1차선,0,5.36,-5.36,-0.05,1
0.400,36.62540261166026,127.45863853457689,207.04,15.013,0.050,2,1차선,0,5.56,-5.56,0.08,1
0.500,36.62538996338006,127.45863018150847,208.60,14.969,0.050,2,1차선,0,5.74,-5.74,0.18,1
0.600,36.625377600579505,127.45862169405126,210.22,15.240,0.050,2,1차선,0,5.89,-5.88,0.30,1
0.700,36.6253655232586,127.45861307220528,211.68,15.680,0.050,2,1차선,0,6.01,-6.00,0.39,1
0.800,36.6253537314173,127.45860431597052,213.21,15.713,0.050,2,1차선,0,6.11,-6.09,0.48,1
0.900,36.62534222505559,127.4585954253469,214.53,15.536,0.050,2,1차선,0,6.17,-6.15,0.54,1
1.000,36.62533100417341,127.45858640033443,215.28,14.794,0.050,2,1차선,0,6.21,-6.19,0.52,1
1.100,36.625320068770776,127.45857724093302,215.54,14.666,0.050,2,1차선,0,6.22,-6.20,0.44,1
1.200,36.62530941884763,127.45856794714268,215.47,15.175,0.050,2,1차선,0,6.20,-6.20,0.31,1
1.300,36.62529905440393,127.45855851896339,214.69,15.175,0.050,2,1차선,0,6.16,-6.16,0.09,1
1.400,36.62528897543966,127.45854895639505,213.99,14.975,0.050,2,1차선,0,6.10,-6.10,-0.14,1
1.500,36.62527918195349,127.4585392594375,215.30,14.898,0.050,2,1차선,0,6.01,-6.01,-0.17,1
1.600,36.625270063510456,127.45852888518466,218.26,15.201,0.050,2,1차선,0,5.78,-5.78,-0.11,1
1.700,36.62526127465692,127.45851836378839,222.31,15.355,0.050,2,1차선,0,5.58,-5.58,0.02,1
1.800,36.62525276256037,127.45850771318783,227.12,13.303,0.050,2,1차선,0,5.40,-5.40,0.20,1
1.900,36.62524448807318,127.45849707843306,231.90,11.807,0.050,2,1차선,0,5.23,-5.22,0.35,1
2.000,36.62523639782994,127.45848653333337,235.90,11.807,0.050,2,1차선,0,5.05,-5.04,0.40,1
2.100,36.62522843607589,127.45847602254419,239.67,11.807,0.050,2,1차선,0,4.89,-4.87,0.41,1
2.200,36.62522058667,127.4584655072445,241.76,11.807,0.050,2,1차선,0,4.73,-4.73,0.25,1
2.300,36.625212808189374,127.45845501755878,240.06,11.807,0.050,2,2차선,0,4.60,-4.59,-0.23,0
2.400,36.62520506148846,127.4584445034821,236.18,11.807,0.050,2,2차선,0,4.49,-4.41,-0.87,0
2.500,36.625197252497045,127.45843405365845,232.53,11.807,0.050,2,2차선,0,4.42,-4.17,-1.46,0
2.600,36.62518933360464,127.45842366964506,228.53,12.564,0.050,2,2차선,0,4.37,-3.87,-2.04,0
2.700,36.62518131327927,127.45841342549386,224.43,13.866,0.050,2,2차선,0,4.35,-3.50,-2.58,0
2.800,36.62517268545462,127.45840372259482,220.22,14.067,0.050,2,2차선,0,4.32,-3.10,-3.01,0
2.900,36.62516396496199,127.45839413994544,216.57,14.029,0.050,2,2차선,0,4.29,-2.69,-3.34,0
3.000,36.625155151802744,127.45838467754581,214.85,13.969,0.050,2,2차선,0,4.27,-2.38,-3.54,0
3.100,36.625146245976886,127.4583753353959,215.87,13.578,0.050,2,2차선,0,4.25,-2.24,-3.61,0
3.200,36.62513724748445,127.45836611349574,217.41,13.154,0.050,2,2차선,0,4.24,-2.14,-3.66,0
3.300,36.62512815632548,127.45835701184528,217.77,13.577,0.050,2,2차선,0,4.22,-1.98,-3.73,0
3.400,36.6251189725,127.45834803044451,217.43,14.247,0.050,2,2차선,0,4.20,-1.77,-3.81,0
3.500,36.625109696007996,127.45833916929342,216.86,13.852,0.050,2,2차선,0,4.18,-1.54,-3.89,0
3.600,36.62510032684955,127.45833042839203,216.37,12.924,0.050,2,2차선,0,4.16,-1.33,-3.94,0
3.700,36.62509086502465,127.45832180774032,215.75,12.899,0.050,2,2차선,0,4.13,-1.11,-3.97,0
3.800,36.625081310533346,127.45831330733823,214.99,12.995,0.050,2,2차선,0,4.09,-0.88,-3.99,0
3.900,36.62507166337565,127.45830492718578,214.36,12.494,0.050,2,2차선,0,4.05,-0.67,-3.99,0
4.000,36.625061923551584,127.45829666728294,214.62,11.830,0.050,2,2차선,0,3.99,-0.52,-3.96,0
4.100,36.625052091061185,127.45828852762968,216.13,11.228,0.050,2,2차선,0,3.94,-0.46,-3.91,0
4.200,36.625042165904446,127.45828050822603,217.35,10.905,0.050,2,2차선,0,3.87,-0.39,-3.85,0
