scenario_t_s,lat,lon,heading_deg,speed_mps,hAcc_m,carrSoln,lane,road_idx,rel_distance_m,rel_ahead_m,rel_lateral_m,same_lane_alert
0.000,36.62549356330732,127.45869138415726,207.16,0.291,0.050,2,1차선,0,4.56,-4.55,0.22,1
0.100,36.625482145410665,127.4586850876514,205.19,3.427,0.050,2,1차선,0,4.85,-4.85,0.03,1
0.200,36.625470734524114,127.45867861763362,199.98,9.384,0.050,2,1차선,0,5.12,-5.12,-0.14,1
0.300,36.625459330647615,127.45867197410402,204.57,13.140,0.050,2,1차선,0,5.36,-5.36,-0.05,1
0.400,36.625447933781174,127.45866515706265,207.71,14.202,0.050,2,1차선,0,5.56,-5.56,0.08,1
0.500,36.62543654392475,127.4586581665096,205.49,14.974,0.050,2,1차선,0,5.74,-5.74,0.18,1
0.600,36.625425161078304,127.45865100244495,203.85,15.131,0.050,2,1차선,0,5.89,-5.88,0.30,1
0.700,36.62541378524182,127.45864366486876,205.30,15.002,0.050,2,1차선,0,6.01,-6.00,0.39,1
0.800,36.625402416415255,127.45863615378113,207.04,15.013,0.050,2,1차선,0,6.11,-6.09,0.48,1
0.900,36.625391054598595,127.4586284691821,208.60,14.969,0.050,2,1차선,0,6.17,-6.15,0.54,1
1.000,36.62537969979177,127.45862061107178,210.22,15.240,0.050,2,1차선,0,6.21,-6.19,0.52,1
1.100,36.625368351994794,127.45861257945023,211.68,15.680,0.050,2,1차선,0,6.22,-6.20,0.44,1
1.200,36.625357011207626,127.45860437431753,213.21,15.713,0.050,2,1차선,0,6.20,-6.20,0.31,1
1.300,36.6253456774302,127.45859599567376,214.53,15.536,0.050,2,1차선,0,6.16,-6.16,0.09,1
1.400,36.62533435066251,127.45858744351901,215.28,14.794,0.050,2,1차선,0,6.10,-6.10,-0.14,1
1.500,36.62532303090319,127.45857871785319,215.54,14.666,0.050,2,1차선,0,6.01,-6.01,-0.17,1
1.600,36.625310881712025,127.45856903903989,215.47,15.175,0.050,2,1차선,0,5.78,-5.78,-0.11,1
1.700,36.62529913473756,127.45855940906802,215.50,15.175,0.050,2,1차선,0,5.58,-5.58,0.02,1
1.800,36.625287757649836,127.45854970879542,215.63,14.975,0.050,2,1차선,0,5.40,-5.40,0.20,1
1.900,36.625276528290854,127.4585399319326,215.56,14.898,0.050,2,1차선,0,5.23,-5.22,0.35,1
2.000,36.625265406999425,127.4585300808155,215.69,15.201,0.050,2,1차선,0,5.05,-5.04,0.40,1
2.100,36.62525434134354,127.45852020931206,216.17,15.355,0.050,2,1차선,0,4.89,-4.87,0.41,1
2.200,36.62524331609919,127.4585102984417,216.63,15.278,0.050,2,1차선,0,4.73,-4.73,0.25,1
2.300,36.625232294898716,127.45850039773407,216.82,15.149,0.050,2,1차선,0,4.60,-4.59,-0.23,0
2.400,36.62522127225523,127.45849053498776,216.75,15.010,0.050,2,1차선,0,4.49,-4.41,-0.87,0
2.500,36.62521025161499,127.4584807300531,216.74,15.091,0.050,2,1차선,0,4.42,-4.17,-1.46,0
2.600,36.62519923603698,127.45847100694664,216.72,15.278,0.050,2,1차선,0,4.37,-3.87,-2.04,0
2.700,36.62518816842646,127.45846132032501,216.62,14.969,0.050,2,1차선,0,4.35,-3.50,-2.58,0
2.800,36.62517714341915,127.45845168442612,216.52,14.722,0.050,2,1차선,0,4.32,-3.10,-3.01,0
2.900,36.625166133409515,127.45844205729317,216.28,14.748,0.050,2,1차선,0,4.29,-2.69,-3.34,0
3.000,36.62515513839888,127.45843243892628,216.14,14.793,0.050,2,1차선,0,4.27,-2.38,-3.54,0
3.100,36.625144158387215,127.45842282932541,216.17,14.798,0.050,2,1차선,0,4.25,-2.24,-3.61,0
3.200,36.62513319337455,127.45841322849056,215.79,14.871,0.050,2,1차선,0,4.24,-2.14,-3.66,0
3.300,36.62512224336088,127.45840363642175,215.23,15.124,0.050,2,1차선,0,4.22,-1.98,-3.73,0
3.400,36.625111308346206,127.45839405311895,215.02,15.024,0.050,2,1차선,0,4.20,-1.77,-3.81,0
3.500,36.62510038833052,127.45838447858215,215.08,14.946,0.050,2,1차선,0,4.18,-1.54,-3.89,0
3.600,36.625089483313836,127.45837491281132,215.27,15.024,0.050,2,1차선,0,4.16,-1.33,-3.94,0
3.700,36.62507859329615,127.45836535580649,215.79,14.794,0.050,2,1차선,0,4.13,-1.11,-3.97,0
3.800,36.625067718277464,127.45835580756764,216.46,14.521,0.050,2,1차선,0,4.09,-0.88,-3.99,0
3.900,36.62505685825781,127.45834626809474,216.95,14.574,0.050,2,1차선,0,4.05,-0.67,-3.99,0
4.000,36.625046013237146,127.45833673738781,217.38,14.681,0.050,2,1차선,0,3.99,-0.52,-3.96,0
4.100,36.62503518321549,127.45832721544681,216.99,14.174,0.050,2,1차선,0,3.94,-0.46,-3.91,0
4.200,36.62502436819285,127.45831770227174,213.65,13.631,0.050,2,1차선,0,3.87,-0.39,-3.85,0
