scenario_t_s,lat,lon,heading_deg,speed_mps,hAcc_m,carrSoln,lane,road_idx,rel_distance_m,rel_ahead_m,rel_lateral_m,same_lane_alert
0.000,36.72907821637842,127.44315774778313,136.59,1.971,0.927,0,2차선,1,7.47,-7.47,-0.08,1
0.100,36.72907681693425,127.44315939973094,136.45,2.021,0.926,0,2차선,1,7.61,-7.61,-0.09,1
0.200,36.72907541476394,127.44316106360625,136.28,2.072,0.926,0,2차선,1,7.75,-7.75,-0.11,1
0.300,36.72907400986745,127.44316273940903,136.09,2.120,0.926,0,2차선,1,7.89,-7.89,-0.13,1
0.400,36.72907260224482,127.44316442713928,135.94,2.163,0.926,0,2차선,1,8.02,-8.02,-0.15,1
0.500,36.729071191896004,127.44316612679702,135.88,2.200,0.927,0,2차선,1,8.14,-8.14,-0.15,1
0.600,36.72906977882103,127.44316783838222,135.90,2.232,0.927,0,2차선,1,8.26,-8.26,-0.15,1
0.700,36.729068363019884,127.4431695618949,136.06,2.252,0.927,0,2차선,1,8.37,-8.37,-0.13,1
0.800,36.729066944492565,127.44317129733506,136.15,2.265,0.927,0,2차선,1,8.48,-8.48,-0.11,1
0.900,36.72906552323909,127.44317304470269,136.15,2.269,0.927,0,2차선,1,8.58,-8.58,-0.11,1
1.000,36.729064099259446,127.44317480399778,136.14,2.265,0.927,0,2차선,1,8.68,-8.68,-0.11,1
1.100,36.72906267255364,127.44317657522033,136.16,2.261,0.927,0,2차선,1,8.77,-8.77,-0.11,1
1.200,36.72906124312166,127.44317835837037,136.33,2.257,0.927,0,2차선,1,8.85,-8.85,-0.09,1
1.300,36.729059810963506,127.44318015344788,136.48,2.255,0.927,0,2차선,1,8.93,-8.93,-0.07,1
1.400,36.72905837607919,127.44318196045285,136.48,2.256,0.928,0,2차선,1,9.01,-9.01,-0.08,1
1.500,36.72905693846739,127.44318377938515,136.25,2.258,0.928,0,2차선,1,9.08,-9.08,-0.12,1
1.600,36.729055484006636,127.44318561274473,135.89,2.258,0.928,0,2차선,1,9.13,-9.13,-0.18,1
1.700,36.729054029450054,127.44318745659287,135.70,2.263,0.928,0,2차선,1,9.18,-9.17,-0.23,1
1.800,36.72905257526753,127.44318931127837,135.41,2.276,0.928,0,2차선,1,9.22,-9.22,-0.28,1
1.900,36.729051121605394,127.44319117748059,134.93,2.298,0.928,0,2차선,1,9.26,-9.25,-0.37,1
2.000,36.7290496682832,127.44319305604542,134.40,2.321,0.928,0,2차선,1,9.30,-9.28,-0.47,1
