scenario_t_s,lat,lon,heading_deg,speed_mps,hAcc_m,carrSoln,lane,road_idx,rel_distance_m,rel_ahead_m,rel_lateral_m,same_lane_alert
0.000,36.72912689625202,127.44309997431222,142.96,0.418,0.845,0,2차선,1,7.47,-7.47,-0.08,1
0.100,36.729126378603866,127.44310042875918,142.60,0.459,0.846,0,2차선,1,7.61,-7.61,-0.09,1
0.200,36.729125829842,127.4431009445264,142.20,0.517,0.847,0,2차선,1,7.75,-7.75,-0.11,1
0.300,36.72912524996642,127.4431015216139,141.79,0.588,0.847,0,2차선,1,7.89,-7.89,-0.13,1
0.400,36.72912463897714,127.44310216002168,141.22,0.674,0.848,0,2차선,1,8.02,-8.02,-0.15,1
0.500,36.72912399687416,127.44310285974971,140.12,0.771,0.849,0,2차선,1,8.14,-8.14,-0.15,1
0.600,36.729123323657454,127.44310362079803,139.25,0.869,0.850,0,2차선,1,8.26,-8.26,-0.15,1
0.700,36.72912261932703,127.4431044431666,139.18,0.970,0.851,0,2차선,1,8.37,-8.37,-0.13,1
0.800,36.729121883882904,127.44310532685543,139.08,1.079,0.851,0,2차선,1,8.48,-8.48,-0.11,1
0.900,36.729121117325064,127.44310627186451,138.62,1.194,0.852,0,2차선,1,8.58,-8.58,-0.11,1
1.000,36.7291203196535,127.44310727819386,137.93,1.309,0.853,0,2차선,1,8.68,-8.68,-0.11,1
1.100,36.729119490868214,127.44310834584346,137.02,1.421,0.854,0,2차선,1,8.77,-8.77,-0.11,1
1.200,36.72911863096921,127.4431094748133,135.80,1.529,0.855,0,2차선,1,8.85,-8.85,-0.09,1
1.300,36.7291177399565,127.44311066510336,134.42,1.633,0.855,0,2차선,1,8.93,-8.93,-0.07,1
1.400,36.72911681783004,127.44311191671369,133.09,1.731,0.856,0,2차선,1,9.01,-9.01,-0.08,1
1.500,36.72911586458856,127.44311322964414,132.11,1.819,0.857,0,2차선,1,9.08,-9.08,-0.12,1
1.600,36.72911479833691,127.44311473382122,131.30,1.890,0.858,0,2차선,1,9.13,-9.13,-0.18,1
1.700,36.7291137056169,127.44311629937118,130.44,1.953,0.858,0,2차선,1,9.18,-9.17,-0.23,1
1.800,36.72911259214152,127.44311791695993,129.82,2.006,0.858,0,2차선,1,9.22,-9.22,-0.28,1
1.900,36.729111463123836,127.44311957695376,129.58,2.047,0.859,0,2차선,1,9.26,-9.25,-0.37,1
2.000,36.72911032297656,127.44312126993535,129.69,2.081,0.860,0,2차선,1,9.30,-9.28,-0.47,1
2.100,36.72910917557092,127.44312298696913,129.93,2.092,0.861,0,2차선,1,9.33,-9.31,-0.54,1
2.200,36.729108022709724,127.44312472201703,130.18,2.085,0.861,0,2차선,1,9.37,-9.35,-0.59,1
2.300,36.72910686561546,127.44312646904038,130.40,2.068,0.861,0,2차선,1,9.40,-9.38,-0.64,1
2.400,36.72910570468614,127.44312822257683,130.58,2.042,0.862,0,2차선,1,9.44,-9.41,-0.67,1
2.500,36.72910453943447,127.443129978076,130.69,2.007,0.863,0,2차선,1,9.47,-9.45,-0.71,1
2.600,36.729103369238274,127.44313173142106,130.87,1.971,0.863,0,2차선,1,9.51,-9.49,-0.71,1
2.700,36.72910219162424,127.44313348138922,131.02,1.955,0.864,0,2차선,1,9.55,-9.52,-0.71,1
2.800,36.7291010044379,127.44313522717395,131.24,1.950,0.864,0,2차선,1,9.59,-9.56,-0.71,1
